"EstablishmentID","InspectionID","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","Latitude","Longitude","InspectionDate","Score","Grade","NameSearch","Intersection"
"73002","1386666","JU-LI CREATIONS","","8621 HI VIEW LN","","LOUISVILLE","KY","40272","CATERERS","38.1212000",".0000000","2018-06-08 00:00:00","100","A","JU-LI CREATIONS",""
"41292","1386726","OLE HICKORY PIT BAR B Q","","6106 OLD SHEPHERDSVILLE RD","","LOUISVILLE","KY","40228","FOOD SERVICE","38.1628000","-85.6604000","2018-05-21 00:00:00","","","OLE HICKORY PIT BAR B Q",""
"41292","1386727","OLE HICKORY PIT BAR B Q","","6106 OLD SHEPHERDSVILLE RD","","LOUISVILLE","KY","40228","FOOD SERVICE","38.1628000","-85.6604000","2018-06-05 00:00:00","","","OLE HICKORY PIT BAR B Q",""
"90821","1386729","SONIC DRIVE-IN","","8600 AMBROSSE LN","","LOUISVILLE","KY","40299","FOOD SERVICE","38.1961000","-85.6030000","2018-06-07 00:00:00","","","SONIC DRIVE-IN",""
"75560","1386745","PROOF ON MAIN","","702 W MAIN ST","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2570000","-85.7618000","2018-06-12 00:00:00","100","A","PROOF ON MAIN",""
"99415","1386756","DUNKIN DONUTS","","4611 DIXIE HWY","","LOUISVILLE","KY","40216","FOOD SERVICE","38.1775000","-85.8189000","2018-06-04 00:00:00","","","DUNKIN DONUTS",""
"88273","1386760","DAIRY QUEEN","","400 FAIRDALE RD","","FAIRDALE","KY","40118","FOOD SERVICE","38.1050000","-85.7586000","2018-06-05 00:00:00","","","DAIRY QUEEN",""
"103394","1386771","GRAVELY BREWING COMPANY","","514 BAXTER AVE","","LOUISVILLE","KY","40204","FOOD SERVICE","38.2470000","-85.7303000","2018-06-06 00:00:00","","","GRAVELY BREWING COMPANY",""
"38244","1386779","PIZZA HUT #013426","","2733 W BROADWAY","","LOUISVILLE","KY","40211","FOOD SERVICE","38.2498000","-85.7980000","2018-06-06 00:00:00","","","PIZZA HUT #013426",""
"78337","1386803","MOCKINGBIRD VALLEY SOCCER CLUB","","3000 MELLWOOD AVE","","LOUISVILLE","KY","40207","STATIONARY RESTRICTED CONCESSON","38.2738000","-85.6954000","2018-05-21 00:00:00","","","MOCKINGBIRD VALLEY SOCCER CLUB",""
"80098","1386808","WALMART #3610","","7100 RAGGARD RD","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,001 SQ FT OR OVER","38.1715000","-85.8703000","2018-06-01 00:00:00","","","WALMART #3610",""
"92913","1386809","B QUICK FOODMART","","2119 UPPER HUNTERS TRACE","","LOUISVILLE","KY","40216","PRE-PACKAGED RETAIL","38.1680000","-85.8367000","2018-06-01 00:00:00","","","B QUICK FOODMART",""
"81888","1386811","BURGER BOY","","1450 S BROOK ST","","LOUISVILLE","KY","40208","FOOD SERVICE","38.2266000","-85.7551000","2018-06-05 00:00:00","","","BURGER BOY",""
"94491","1386879","TACO LUCHADOR","","938 BAXTER AVE","","LOUISVILLE","KY","40204","FOOD SERVICE","38.2413000","-85.7251000","2018-05-24 00:00:00","","","TACO LUCHADOR",""
"90128","1380419","QDOBA #2632","","312 S 4TH ST","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2534000","-85.7572000","2018-05-18 00:00:00","94","A","QDOBA #2632",""
"88441","1380420","POTTER'S HOUSE CHILDCARE ENRICHMENT","","314 S WENZEL ST","","LOUISVILLE","KY","40204","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.2508000","-85.7345000","2018-05-18 00:00:00","93","A","POTTER'S HOUSE CHILDCARE ENRICHMENT",""
"93095","1380462","MANSION MILLIONAIRE 6","","700 CENTRAL AVE","","LOUISVILLE","KY","40208","FOOD SERVICE","38.2023000","-85.7701000","2018-05-18 00:00:00","100","A","MANSION MILLIONAIRE 6",""
"104880","1380527","STARTING GATE PANTRY 6","","700 CENTRAL AVE","","LOUISVILLE","KY","40208","FOOD SERVICE","38.2042000","-85.7716000","2018-05-18 00:00:00","100","A","STARTING GATE PANTRY 6",""
"104879","1380529","STARTING GATE PANTRY 5","","700 CENTRAL AVE","","LOUISVILLE","KY","40208","FOOD SERVICE","38.2042000","-85.7716000","2018-05-18 00:00:00","98","A","STARTING GATE PANTRY 5",""
"74258","1382785","CUBA FOOD MART","","5422 NEW CUT RD","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1492000","-85.7765000","2018-05-29 00:00:00","100","A","CUBA FOOD MART",""
"88495","1382791","SUBWAY","","5469 NEW CUT RD","","LOUISVILLE","KY","40214","FOOD SERVICE","38.1463000","-85.7751000","2018-05-29 00:00:00","99","A","SUBWAY",""
"34319","1382801","IN & OUT DAIRY MART","","2329 PORTLAND AVE","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2702000","-85.7871000","2018-05-29 00:00:00","100","","IN & OUT DAIRY MART",""
"99404","1382820","LIFE BAR, LLC","","3046 BARDSTOWN RD","","LOUISVILLE","KY","40205","FOOD SERVICE","38.2130000","-85.1738000","2018-05-29 00:00:00","100","A","LIFE BAR, LLC",""
